RecordDate,ExDate,ISIN,Symbol,CA_Type,Ratio,AmountPerShare,Source
2025-10-20,2025-10-12,INE090A01021,ICICIBANK,RIGHTS,3:5,,NSE
2025-10-03,2025-09-29,INE062A01020,SBIN,SPLIT,1:1,,RTA
2025-10-31,2025-10-29,INE001A01036,HDFC,RIGHTS,3:5,,NSE
2025-10-30,2025-10-20,INE090A01021,ICICIBANK,BONUS,3:5,,RTA
2025-12-12,2025-12-04,INE002A01018,RELIANCE,BONUS,2:3,,RTA
2025-12-18,2025-12-13,INE237A01028,KOTAKBANK,BONUS,1:2,,NSE
2025-11-19,2025-11-10,INE237A01028,KOTAKBANK,MERGER,,,RTA
2025-11-15,2025-11-11,INE238A01026,AXISBANK,SPLIT,1:1,,NSE
2025-12-16,2025-12-14,INE062A01020,SBIN,SPLIT,2:3,,NSE
2025-11-13,2025-11-10,INE237A01028,KOTAKBANK,MERGER,,,NSE
2025-12-15,2025-12-12,INE009A01021,INFY,BONUS,1:2,,NSE
2025-11-12,2025-11-10,INE237A01028,KOTAKBANK,DIVIDEND,,3.94,NSE
2025-11-20,2025-11-13,INE018A01030,LT,DIVIDEND,,12.52,RTA
2025-12-18,2025-12-14,INE090A01021,ICICIBANK,BONUS,2:3,,NSE
2025-11-11,2025-11-03,INE018A01030,LT,BONUS,1:1,,NSE
2025-10-07,2025-10-05,INE001A01036,HDFC,BONUS,1:1,,RTA
2025-11-15,2025-11-10,INE001A01036,HDFC,DIVIDEND,,19.49,BSE
2025-12-21,2025-12-19,INE155A01022,TATAMOTORS,BONUS,1:1,,RTA
2025-12-17,2025-12-14,INE155A01022,TATAMOTORS,BONUS,2:3,,BSE
2025-10-06,2025-09-26,INE237A01028,KOTAKBANK,BONUS,2:3,,NSE
2025-10-14,2025-10-04,INE062A01020,SBIN,SPLIT,3:5,,RTA
2025-10-22,2025-10-19,INE001A01036,HDFC,MERGER,,,NSE
2025-12-11,2025-12-10,INE154A01025,ITC,RIGHTS,3:5,,RTA
2025-10-12,2025-10-11,INE154A01025,ITC,DIVIDEND,,7.03,BSE
2025-10-22,2025-10-17,INE154A01025,ITC,DIVIDEND,,17.84,NSE
2025-10-04,2025-09-26,INE237A01028,KOTAKBANK,BONUS,1:1,,RTA
2025-10-15,2025-10-08,INE090A01021,ICICIBANK,DIVIDEND,,16.82,RTA
2025-09-29,2025-09-22,INE018A01030,LT,DIVIDEND,,1.77,RTA
2025-10-14,2025-10-05,INE155A01022,TATAMOTORS,MERGER,,,BSE
2025-10-25,2025-10-22,INE237A01028,KOTAKBANK,MERGER,,,NSE
2025-09-29,2025-09-24,INE002A01018,RELIANCE,MERGER,,,NSE
2025-10-25,2025-10-18,INE237A01028,KOTAKBANK,DIVIDEND,,8.84,NSE
2025-09-23,2025-09-21,INE237A01028,KOTAKBANK,SPLIT,2:3,,BSE
2025-11-09,2025-11-04,INE154A01025,ITC,DIVIDEND,,13.43,NSE
2025-11-09,2025-11-04,INE002A01018,RELIANCE,BONUS,2:3,,BSE
2025-11-24,2025-11-15,INE018A01030,LT,MERGER,,,NSE
2025-11-24,2025-11-23,INE155A01022,TATAMOTORS,DIVIDEND,,18.81,RTA
2025-12-06,2025-12-04,INE237A01028,KOTAKBANK,SPLIT,3:5,,NSE
2025-10-18,2025-10-14,INE001A01036,HDFC,MERGER,,,BSE
2025-11-26,2025-11-21,INE009A01021,INFY,SPLIT,3:5,,NSE
2025-12-12,2025-12-11,INE002A01018,RELIANCE,SPLIT,1:2,,RTA
2025-12-14,2025-12-11,INE009A01021,INFY,RIGHTS,3:5,,NSE
2025-11-04,2025-11-03,INE018A01030,LT,SPLIT,3:5,,BSE
2025-10-31,2025-10-23,INE090A01021,ICICIBANK,SPLIT,2:3,,NSE
2025-12-18,2025-12-09,INE002A01018,RELIANCE,SPLIT,1:1,,RTA
2025-12-22,2025-12-20,INE154A01025,ITC,BONUS,3:5,,NSE
2025-10-12,2025-10-03,INE155A01022,TATAMOTORS,BONUS,2:3,,BSE
2025-11-28,2025-11-23,INE238A01026,AXISBANK,SPLIT,1:2,,BSE
2025-09-21,2025-09-15,INE001A01036,HDFC,BONUS,2:3,,NSE
2025-09-25,2025-09-20,INE001A01036,HDFC,SPLIT,2:3,,NSE
2025-11-17,2025-11-13,INE155A01022,TATAMOTORS,MERGER,,,RTA
2025-12-04,2025-11-27,INE002A01018,RELIANCE,SPLIT,1:2,,RTA
2025-10-24,2025-10-14,INE002A01018,RELIANCE,DIVIDEND,,17.14,RTA
2025-12-18,2025-12-14,INE001A01036,HDFC,MERGER,,,NSE
2025-12-24,2025-12-20,INE001A01036,HDFC,BONUS,2:3,,RTA
2025-11-08,2025-10-30,INE001A01036,HDFC,DIVIDEND,,16.38,RTA
2025-12-06,2025-11-29,INE237A01028,KOTAKBANK,SPLIT,1:1,,RTA
2025-10-23,2025-10-20,INE238A01026,AXISBANK,RIGHTS,3:5,,BSE
2025-10-31,2025-10-22,INE237A01028,KOTAKBANK,DIVIDEND,,9.21,RTA
2025-11-06,2025-10-31,INE002A01018,RELIANCE,DIVIDEND,,1.15,NSE
2025-12-24,2025-12-18,INE154A01025,ITC,MERGER,,,BSE
2025-12-11,2025-12-03,INE018A01030,LT,RIGHTS,3:5,,NSE
2025-10-29,2025-10-28,INE062A01020,SBIN,SPLIT,3:5,,NSE
2025-11-07,2025-10-31,INE002A01018,RELIANCE,MERGER,,,BSE
2025-12-19,2025-12-09,INE237A01028,KOTAKBANK,DIVIDEND,,15.25,RTA
2025-10-10,2025-10-09,INE090A01021,ICICIBANK,BONUS,1:1,,BSE
2025-11-06,2025-11-01,INE009A01021,INFY,MERGER,,,RTA
2025-10-01,2025-09-24,INE154A01025,ITC,RIGHTS,2:3,,RTA
2025-10-06,2025-09-30,INE001A01036,HDFC,DIVIDEND,,1.6,BSE
2025-10-08,2025-10-04,INE018A01030,LT,SPLIT,1:1,,RTA
2025-09-21,2025-09-11,INE155A01022,TATAMOTORS,DIVIDEND,,17.52,BSE
2025-09-27,2025-09-26,INE001A01036,HDFC,SPLIT,2:3,,NSE
2025-11-21,2025-11-11,INE002A01018,RELIANCE,SPLIT,1:1,,BSE
2025-10-29,2025-10-19,INE090A01021,ICICIBANK,DIVIDEND,,16.37,RTA
2025-11-06,2025-11-02,INE002A01018,RELIANCE,RIGHTS,1:1,,NSE
2025-09-26,2025-09-20,INE001A01036,HDFC,DIVIDEND,,7.02,NSE
2025-11-07,2025-11-01,INE002A01018,RELIANCE,SPLIT,3:5,,NSE
2025-10-30,2025-10-29,INE002A01018,RELIANCE,RIGHTS,3:5,,RTA
2025-11-23,2025-11-21,INE009A01021,INFY,DIVIDEND,,5.7,BSE
2025-12-11,2025-12-10,INE154A01025,ITC,RIGHTS,1:2,,NSE
2025-09-27,2025-09-18,INE155A01022,TATAMOTORS,DIVIDEND,,5.8,NSE
2025-11-21,2025-11-16,INE155A01022,TATAMOTORS,SPLIT,3:5,,BSE
2025-11-13,2025-11-12,INE001A01036,HDFC,SPLIT,1:2,,BSE
2025-11-30,2025-11-23,INE018A01030,LT,RIGHTS,2:3,,RTA
2025-09-25,2025-09-21,INE238A01026,AXISBANK,RIGHTS,2:3,,RTA
2025-12-11,2025-12-08,INE090A01021,ICICIBANK,SPLIT,3:5,,RTA
2025-12-19,2025-12-12,INE018A01030,LT,MERGER,,,BSE
2025-12-01,2025-11-24,INE237A01028,KOTAKBANK,BONUS,2:3,,NSE
2025-12-03,2025-12-01,INE002A01018,RELIANCE,DIVIDEND,,12.41,RTA
2025-09-27,2025-09-17,INE155A01022,TATAMOTORS,RIGHTS,1:2,,RTA
2025-09-22,2025-09-16,INE090A01021,ICICIBANK,BONUS,1:1,,BSE
2025-11-26,2025-11-22,INE002A01018,RELIANCE,MERGER,,,NSE
2025-09-21,2025-09-17,INE018A01030,LT,MERGER,,,BSE
2025-12-22,2025-12-21,INE002A01018,RELIANCE,DIVIDEND,,16.51,BSE
2025-10-15,2025-10-05,INE002A01018,RELIANCE,RIGHTS,1:2,,NSE
2025-11-24,2025-11-21,INE090A01021,ICICIBANK,MERGER,,,NSE
2025-12-01,2025-11-28,INE001A01036,HDFC,MERGER,,,RTA
2025-12-21,2025-12-18,INE002A01018,RELIANCE,MERGER,,,BSE
2025-11-07,2025-10-30,INE001A01036,HDFC,DIVIDEND,,4.62,BSE
2025-11-25,2025-11-24,INE154A01025,ITC,MERGER,,,RTA
2025-11-05,2025-10-31,INE238A01026,AXISBANK,SPLIT,3:5,,NSE
2025-10-13,2025-10-12,INE001A01036,HDFC,DIVIDEND,,18.43,RTA
2025-10-24,2025-10-18,INE001A01036,HDFC,BONUS,1:2,,BSE
2025-12-12,2025-12-06,INE090A01021,ICICIBANK,DIVIDEND,,7.56,BSE
2025-10-07,2025-09-29,INE237A01028,KOTAKBANK,BONUS,1:2,,BSE
2025-12-22,2025-12-15,INE018A01030,LT,RIGHTS,1:1,,RTA
2025-11-17,2025-11-10,INE155A01022,TATAMOTORS,BONUS,3:5,,RTA
2025-09-26,2025-09-17,INE001A01036,HDFC,RIGHTS,1:2,,BSE
2025-11-20,2025-11-10,INE154A01025,ITC,MERGER,,,RTA
2025-10-22,2025-10-14,INE001A01036,HDFC,MERGER,,,NSE
2025-10-31,2025-10-25,INE001A01036,HDFC,MERGER,,,BSE
2025-10-17,2025-10-09,INE154A01025,ITC,DIVIDEND,,6.95,NSE
2025-09-29,2025-09-21,INE154A01025,ITC,MERGER,,,NSE
2025-12-10,2025-11-30,INE009A01021,INFY,SPLIT,2:3,,BSE
2025-11-07,2025-11-04,INE002A01018,RELIANCE,DIVIDEND,,19.75,RTA
2025-12-07,2025-12-02,INE062A01020,SBIN,MERGER,,,BSE
2025-11-05,2025-11-04,INE018A01030,LT,RIGHTS,1:2,,BSE
2025-10-30,2025-10-20,INE001A01036,HDFC,BONUS,2:3,,NSE
2025-12-05,2025-12-01,INE237A01028,KOTAKBANK,RIGHTS,3:5,,BSE
2025-12-21,2025-12-14,INE009A01021,INFY,RIGHTS,3:5,,RTA
2025-10-20,2025-10-14,INE018A01030,LT,DIVIDEND,,17.95,NSE
2025-12-09,2025-12-01,INE237A01028,KOTAKBANK,DIVIDEND,,17.43,RTA
2025-11-09,2025-11-03,INE155A01022,TATAMOTORS,MERGER,,,BSE
2025-10-29,2025-10-25,INE237A01028,KOTAKBANK,RIGHTS,1:1,,BSE
2025-12-03,2025-11-26,INE062A01020,SBIN,RIGHTS,2:3,,BSE
2025-12-20,2025-12-13,INE002A01018,RELIANCE,RIGHTS,3:5,,NSE
2025-11-21,2025-11-11,INE009A01021,INFY,DIVIDEND,,13.47,BSE
2025-11-15,2025-11-12,INE155A01022,TATAMOTORS,MERGER,,,RTA
2025-10-13,2025-10-11,INE090A01021,ICICIBANK,SPLIT,3:5,,NSE
2025-10-16,2025-10-09,INE237A01028,KOTAKBANK,BONUS,2:3,,RTA
2025-12-02,2025-11-23,INE238A01026,AXISBANK,RIGHTS,1:1,,RTA
2025-12-26,2025-12-23,INE009A01021,INFY,DIVIDEND,,11.16,RTA
2025-12-04,2025-12-01,INE238A01026,AXISBANK,SPLIT,1:2,,NSE
2025-11-30,2025-11-29,INE155A01022,TATAMOTORS,BONUS,3:5,,RTA
2025-10-01,2025-09-24,INE002A01018,RELIANCE,SPLIT,1:1,,NSE
2025-12-10,2025-12-04,INE009A01021,INFY,MERGER,,,BSE
2025-10-15,2025-10-12,INE002A01018,RELIANCE,DIVIDEND,,12.47,RTA
2025-12-01,2025-11-30,INE001A01036,HDFC,MERGER,,,BSE
2025-10-26,2025-10-18,INE001A01036,HDFC,RIGHTS,2:3,,RTA
2025-10-17,2025-10-11,INE018A01030,LT,SPLIT,2:3,,RTA
2025-10-15,2025-10-05,INE062A01020,SBIN,DIVIDEND,,8.13,NSE
2025-12-12,2025-12-11,INE001A01036,HDFC,BONUS,2:3,,BSE
2025-11-18,2025-11-14,INE154A01025,ITC,SPLIT,1:2,,NSE
2025-10-21,2025-10-16,INE155A01022,TATAMOTORS,BONUS,1:1,,NSE
2025-09-27,2025-09-26,INE154A01025,ITC,MERGER,,,NSE
2025-12-15,2025-12-10,INE238A01026,AXISBANK,SPLIT,2:3,,NSE
2025-11-25,2025-11-19,INE154A01025,ITC,MERGER,,,RTA
2025-11-10,2025-11-07,INE062A01020,SBIN,DIVIDEND,,4.1,RTA
2025-10-21,2025-10-18,INE062A01020,SBIN,BONUS,1:2,,RTA
2025-12-25,2025-12-20,INE001A01036,HDFC,SPLIT,3:5,,NSE
2025-12-17,2025-12-16,INE155A01022,TATAMOTORS,MERGER,,,RTA
2025-10-29,2025-10-26,INE155A01022,TATAMOTORS,BONUS,1:1,,NSE
2025-10-08,2025-09-29,INE002A01018,RELIANCE,DIVIDEND,,12.22,NSE
2025-10-17,2025-10-12,INE090A01021,ICICIBANK,DIVIDEND,,4.29,NSE
2025-11-30,2025-11-23,INE018A01030,LT,BONUS,1:1,,RTA
2025-11-22,2025-11-18,INE155A01022,TATAMOTORS,SPLIT,2:3,,BSE
2025-09-22,2025-09-19,INE090A01021,ICICIBANK,RIGHTS,1:1,,RTA
2025-12-26,2025-12-18,INE009A01021,INFY,MERGER,,,BSE
2025-09-28,2025-09-18,INE154A01025,ITC,RIGHTS,2:3,,NSE
2025-12-22,2025-12-21,INE009A01021,INFY,SPLIT,1:1,,BSE
2025-12-19,2025-12-12,INE018A01030,LT,MERGER,,,NSE
2025-09-25,2025-09-18,INE237A01028,KOTAKBANK,DIVIDEND,,7.19,NSE
2025-11-30,2025-11-25,INE002A01018,RELIANCE,MERGER,,,BSE
2025-09-26,2025-09-25,INE238A01026,AXISBANK,RIGHTS,1:2,,RTA
2025-11-10,2025-11-03,INE018A01030,LT,DIVIDEND,,12.0,BSE
2025-12-24,2025-12-20,INE001A01036,HDFC,DIVIDEND,,14.93,RTA
2025-11-16,2025-11-07,INE155A01022,TATAMOTORS,BONUS,2:3,,NSE
2025-10-31,2025-10-29,INE155A01022,TATAMOTORS,BONUS,3:5,,BSE
2025-11-30,2025-11-21,INE002A01018,RELIANCE,BONUS,1:1,,BSE
2025-09-27,2025-09-22,INE237A01028,KOTAKBANK,SPLIT,1:1,,NSE
2025-10-12,2025-10-08,INE018A01030,LT,RIGHTS,1:2,,BSE
2025-09-30,2025-09-27,INE155A01022,TATAMOTORS,BONUS,3:5,,BSE
2025-11-17,2025-11-13,INE155A01022,TATAMOTORS,DIVIDEND,,15.2,BSE
2025-12-07,2025-12-01,INE002A01018,RELIANCE,SPLIT,1:1,,RTA
2025-09-24,2025-09-15,INE002A01018,RELIANCE,BONUS,1:1,,NSE
2025-10-31,2025-10-21,INE062A01020,SBIN,BONUS,1:1,,NSE
2025-11-18,2025-11-14,INE154A01025,ITC,RIGHTS,1:1,,RTA
2025-11-19,2025-11-11,INE062A01020,SBIN,MERGER,,,BSE
2025-10-25,2025-10-15,INE001A01036,HDFC,SPLIT,1:1,,BSE
2025-12-23,2025-12-18,INE001A01036,HDFC,BONUS,3:5,,NSE
2025-12-16,2025-12-06,INE090A01021,ICICIBANK,MERGER,,,RTA
2025-09-23,2025-09-13,INE154A01025,ITC,BONUS,3:5,,BSE
2025-11-03,2025-10-26,INE154A01025,ITC,SPLIT,1:1,,BSE
2025-10-29,2025-10-23,INE002A01018,RELIANCE,RIGHTS,3:5,,BSE
2025-10-12,2025-10-08,INE154A01025,ITC,DIVIDEND,,1.5,RTA
2025-10-23,2025-10-19,INE155A01022,TATAMOTORS,MERGER,,,BSE
2025-12-19,2025-12-10,INE009A01021,INFY,DIVIDEND,,1.91,BSE
2025-12-20,2025-12-10,INE002A01018,RELIANCE,RIGHTS,3:5,,BSE
2025-12-03,2025-12-02,INE018A01030,LT,BONUS,3:5,,RTA
2025-09-21,2025-09-13,INE009A01021,INFY,RIGHTS,1:2,,NSE
2025-11-21,2025-11-13,INE090A01021,ICICIBANK,DIVIDEND,,15.43,NSE
2025-12-24,2025-12-17,INE237A01028,KOTAKBANK,DIVIDEND,,16.56,NSE
2025-11-22,2025-11-18,INE018A01030,LT,BONUS,3:5,,BSE
2025-10-31,2025-10-29,INE009A01021,INFY,DIVIDEND,,9.35,RTA
2025-11-24,2025-11-23,INE062A01020,SBIN,BONUS,2:3,,RTA
2025-12-02,2025-11-29,INE018A01030,LT,MERGER,,,BSE
2025-12-11,2025-12-01,INE001A01036,HDFC,MERGER,,,BSE
2025-10-16,2025-10-08,INE062A01020,SBIN,DIVIDEND,,11.01,RTA
2025-10-27,2025-10-26,INE062A01020,SBIN,DIVIDEND,,3.29,RTA
2025-11-04,2025-10-26,INE155A01022,TATAMOTORS,MERGER,,,NSE
2025-12-16,2025-12-06,INE002A01018,RELIANCE,MERGER,,,RTA
2025-10-15,2025-10-09,INE090A01021,ICICIBANK,RIGHTS,1:1,,RTA
2025-12-16,2025-12-07,INE090A01021,ICICIBANK,MERGER,,,BSE
2025-10-31,2025-10-29,INE062A01020,SBIN,BONUS,3:5,,BSE
2025-11-12,2025-11-09,INE018A01030,LT,DIVIDEND,,9.74,BSE
2025-11-05,2025-10-29,INE009A01021,INFY,SPLIT,1:1,,BSE
2025-12-04,2025-11-30,INE237A01028,KOTAKBANK,BONUS,3:5,,BSE
2025-10-17,2025-10-16,INE237A01028,KOTAKBANK,MERGER,,,BSE
2025-11-23,2025-11-17,INE009A01021,INFY,DIVIDEND,,15.64,NSE
2025-10-15,2025-10-12,INE001A01036,HDFC,MERGER,,,RTA
2025-11-18,2025-11-11,INE238A01026,AXISBANK,SPLIT,2:3,,BSE
2025-12-03,2025-12-02,INE238A01026,AXISBANK,DIVIDEND,,18.62,NSE
2025-12-18,2025-12-08,INE154A01025,ITC,RIGHTS,2:3,,NSE
2025-11-27,2025-11-24,INE018A01030,LT,DIVIDEND,,9.16,NSE
2025-10-25,2025-10-16,INE090A01021,ICICIBANK,MERGER,,,RTA
2025-11-15,2025-11-09,INE237A01028,KOTAKBANK,BONUS,2:3,,BSE
2025-12-02,2025-11-24,INE155A01022,TATAMOTORS,MERGER,,,BSE
2025-09-26,2025-09-22,INE001A01036,HDFC,SPLIT,1:1,,BSE
2025-12-20,2025-12-19,INE009A01021,INFY,SPLIT,1:2,,BSE
2025-12-24,2025-12-20,INE237A01028,KOTAKBANK,BONUS,3:5,,RTA
2025-10-01,2025-09-21,INE090A01021,ICICIBANK,DIVIDEND,,2.34,RTA
2025-11-22,2025-11-16,INE062A01020,SBIN,BONUS,1:2,,BSE
2025-12-02,2025-11-26,INE018A01030,LT,SPLIT,1:1,,NSE
2025-10-17,2025-10-14,INE238A01026,AXISBANK,RIGHTS,3:5,,RTA
2025-12-18,2025-12-10,INE062A01020,SBIN,SPLIT,1:1,,NSE
2025-11-23,2025-11-18,INE154A01025,ITC,DIVIDEND,,4.61,NSE
2025-09-21,2025-09-13,INE237A01028,KOTAKBANK,MERGER,,,NSE
2025-10-30,2025-10-20,INE001A01036,HDFC,RIGHTS,1:2,,RTA
2025-11-04,2025-10-26,INE090A01021,ICICIBANK,RIGHTS,3:5,,RTA
2025-11-11,2025-11-06,INE009A01021,INFY,DIVIDEND,,2.78,BSE
2025-10-27,2025-10-20,INE090A01021,ICICIBANK,SPLIT,3:5,,NSE
2025-10-10,2025-10-05,INE062A01020,SBIN,BONUS,1:2,,RTA
2025-10-14,2025-10-11,INE090A01021,ICICIBANK,MERGER,,,NSE
2025-12-12,2025-12-08,INE238A01026,AXISBANK,SPLIT,3:5,,NSE
2025-10-04,2025-09-26,INE002A01018,RELIANCE,RIGHTS,1:1,,BSE
2025-12-15,2025-12-14,INE002A01018,RELIANCE,MERGER,,,NSE
2025-11-03,2025-10-27,INE090A01021,ICICIBANK,DIVIDEND,,14.7,RTA
2025-12-26,2025-12-19,INE009A01021,INFY,MERGER,,,NSE
2025-10-15,2025-10-11,INE002A01018,RELIANCE,BONUS,3:5,,RTA
2025-11-19,2025-11-12,INE018A01030,LT,MERGER,,,BSE
2025-12-05,2025-12-01,INE237A01028,KOTAKBANK,MERGER,,,NSE
2025-10-09,2025-10-07,INE002A01018,RELIANCE,BONUS,3:5,,RTA
2025-10-22,2025-10-20,INE002A01018,RELIANCE,DIVIDEND,,3.43,RTA
2025-11-25,2025-11-18,INE154A01025,ITC,SPLIT,3:5,,NSE
2025-10-08,2025-10-06,INE002A01018,RELIANCE,DIVIDEND,,17.91,NSE
2025-12-15,2025-12-08,INE001A01036,HDFC,SPLIT,1:1,,BSE
2025-12-11,2025-12-07,INE001A01036,HDFC,SPLIT,1:1,,BSE
2025-09-28,2025-09-22,INE062A01020,SBIN,BONUS,2:3,,NSE
2025-12-23,2025-12-14,INE155A01022,TATAMOTORS,DIVIDEND,,9.45,RTA
2025-10-31,2025-10-28,INE154A01025,ITC,RIGHTS,1:1,,RTA
2025-10-06,2025-10-03,INE238A01026,AXISBANK,MERGER,,,NSE
2025-12-18,2025-12-10,INE009A01021,INFY,DIVIDEND,,15.59,NSE
2025-10-14,2025-10-08,INE018A01030,LT,DIVIDEND,,18.69,NSE
2025-10-30,2025-10-21,INE001A01036,HDFC,MERGER,,,BSE
2025-10-27,2025-10-26,INE238A01026,AXISBANK,DIVIDEND,,13.78,BSE
2025-12-25,2025-12-24,INE062A01020,SBIN,DIVIDEND,,7.78,RTA
2025-11-05,2025-11-04,INE237A01028,KOTAKBANK,RIGHTS,1:1,,RTA
2025-09-24,2025-09-14,INE018A01030,LT,MERGER,,,BSE
2025-11-08,2025-11-05,INE009A01021,INFY,MERGER,,,BSE
2025-11-21,2025-11-12,INE237A01028,KOTAKBANK,DIVIDEND,,7.12,RTA
2025-11-05,2025-11-01,INE155A01022,TATAMOTORS,SPLIT,2:3,,BSE
2025-11-05,2025-11-03,INE090A01021,ICICIBANK,SPLIT,1:1,,NSE
2025-10-05,2025-09-28,INE018A01030,LT,DIVIDEND,,6.62,BSE
2025-12-13,2025-12-03,INE090A01021,ICICIBANK,SPLIT,1:1,,BSE
2025-11-13,2025-11-11,INE090A01021,ICICIBANK,SPLIT,2:3,,NSE
2025-12-16,2025-12-13,INE238A01026,AXISBANK,SPLIT,1:2,,RTA
2025-10-20,2025-10-10,INE154A01025,ITC,BONUS,1:2,,BSE
2025-12-08,2025-11-29,INE090A01021,ICICIBANK,RIGHTS,3:5,,NSE
2025-10-07,2025-10-04,INE090A01021,ICICIBANK,BONUS,3:5,,NSE
2025-12-26,2025-12-17,INE090A01021,ICICIBANK,RIGHTS,2:3,,BSE
2025-12-16,2025-12-14,INE155A01022,TATAMOTORS,SPLIT,1:2,,NSE
2025-10-21,2025-10-19,INE238A01026,AXISBANK,BONUS,3:5,,RTA
2025-12-26,2025-12-21,INE237A01028,KOTAKBANK,RIGHTS,2:3,,NSE
2025-10-08,2025-10-04,INE090A01021,ICICIBANK,MERGER,,,BSE
2025-12-11,2025-12-04,INE018A01030,LT,BONUS,1:2,,NSE
2025-12-04,2025-11-24,INE002A01018,RELIANCE,BONUS,2:3,,BSE
2025-10-31,2025-10-24,INE062A01020,SBIN,DIVIDEND,,14.05,BSE
2025-09-28,2025-09-26,INE018A01030,LT,SPLIT,1:2,,RTA
2025-10-10,2025-10-02,INE001A01036,HDFC,DIVIDEND,,17.72,RTA
2025-11-04,2025-10-28,INE155A01022,TATAMOTORS,DIVIDEND,,5.95,NSE
2025-10-30,2025-10-26,INE001A01036,HDFC,BONUS,3:5,,RTA
2025-10-10,2025-10-06,INE155A01022,TATAMOTORS,MERGER,,,BSE
2025-12-05,2025-11-29,INE001A01036,HDFC,SPLIT,2:3,,BSE
2025-10-21,2025-10-13,INE090A01021,ICICIBANK,RIGHTS,3:5,,NSE
2025-10-01,2025-09-24,INE154A01025,ITC,MERGER,,,BSE
2025-09-21,2025-09-20,INE155A01022,TATAMOTORS,RIGHTS,1:2,,BSE
2025-11-30,2025-11-27,INE062A01020,SBIN,DIVIDEND,,5.06,RTA
2025-09-25,2025-09-22,INE009A01021,INFY,MERGER,,,BSE
2025-11-21,2025-11-19,INE001A01036,HDFC,RIGHTS,1:1,,BSE
2025-11-14,2025-11-04,INE018A01030,LT,MERGER,,,BSE
2025-10-06,2025-09-27,INE238A01026,AXISBANK,SPLIT,3:5,,BSE
2025-10-24,2025-10-17,INE237A01028,KOTAKBANK,MERGER,,,BSE
2025-12-21,2025-12-17,INE018A01030,LT,DIVIDEND,,17.23,BSE
2025-12-13,2025-12-10,INE002A01018,RELIANCE,BONUS,1:1,,RTA
2025-12-08,2025-11-30,INE062A01020,SBIN,SPLIT,1:2,,NSE
2025-11-03,2025-10-27,INE062A01020,SBIN,BONUS,1:2,,RTA
2025-12-19,2025-12-13,INE062A01020,SBIN,BONUS,2:3,,RTA
2025-11-05,2025-10-28,INE018A01030,LT,DIVIDEND,,5.3,BSE
2025-12-26,2025-12-25,INE009A01021,INFY,BONUS,2:3,,BSE
2025-10-18,2025-10-15,INE237A01028,KOTAKBANK,DIVIDEND,,12.51,BSE
2025-11-28,2025-11-24,INE062A01020,SBIN,BONUS,1:1,,NSE
2025-11-23,2025-11-22,INE238A01026,AXISBANK,RIGHTS,2:3,,RTA
2025-09-26,2025-09-22,INE062A01020,SBIN,DIVIDEND,,9.38,BSE
2025-11-27,2025-11-26,INE018A01030,LT,RIGHTS,3:5,,BSE
2025-10-24,2025-10-19,INE062A01020,SBIN,DIVIDEND,,10.97,NSE
2025-11-12,2025-11-02,INE155A01022,TATAMOTORS,DIVIDEND,,15.29,RTA
2025-12-23,2025-12-18,INE062A01020,SBIN,RIGHTS,3:5,,RTA
2025-11-20,2025-11-18,INE062A01020,SBIN,DIVIDEND,,14.21,RTA
2025-12-23,2025-12-20,INE009A01021,INFY,BONUS,1:2,,RTA
2025-10-07,2025-10-03,INE001A01036,HDFC,RIGHTS,3:5,,RTA
2025-09-23,2025-09-14,INE090A01021,ICICIBANK,BONUS,2:3,,NSE
2025-11-18,2025-11-17,INE001A01036,HDFC,DIVIDEND,,10.96,NSE
2025-10-24,2025-10-16,INE002A01018,RELIANCE,DIVIDEND,,11.32,NSE
2025-10-09,2025-10-02,INE154A01025,ITC,MERGER,,,BSE
2025-11-21,2025-11-18,INE002A01018,RELIANCE,DIVIDEND,,12.1,NSE
2025-10-11,2025-10-02,INE018A01030,LT,RIGHTS,2:3,,RTA
2025-10-16,2025-10-10,INE237A01028,KOTAKBANK,DIVIDEND,,18.25,RTA
2025-12-22,2025-12-14,INE009A01021,INFY,BONUS,1:1,,NSE
2025-10-19,2025-10-10,INE154A01025,ITC,RIGHTS,3:5,,BSE
2025-11-28,2025-11-18,INE062A01020,SBIN,BONUS,1:1,,RTA
2025-11-01,2025-10-29,INE001A01036,HDFC,RIGHTS,2:3,,NSE
2025-11-27,2025-11-19,INE090A01021,ICICIBANK,RIGHTS,2:3,,RTA
2025-10-08,2025-10-02,INE002A01018,RELIANCE,SPLIT,2:3,,RTA
2025-10-07,2025-10-04,INE155A01022,TATAMOTORS,BONUS,2:3,,NSE
2025-10-15,2025-10-11,INE090A01021,ICICIBANK,BONUS,3:5,,RTA
2025-11-03,2025-10-29,INE001A01036,HDFC,DIVIDEND,,2.07,NSE
2025-10-28,2025-10-21,INE238A01026,AXISBANK,RIGHTS,2:3,,NSE
2025-10-04,2025-10-02,INE018A01030,LT,BONUS,2:3,,BSE
2025-10-10,2025-09-30,INE237A01028,KOTAKBANK,BONUS,1:2,,NSE
2025-09-29,2025-09-21,INE238A01026,AXISBANK,BONUS,2:3,,RTA
2025-12-11,2025-12-06,INE062A01020,SBIN,DIVIDEND,,14.54,NSE
2025-09-24,2025-09-16,INE238A01026,AXISBANK,RIGHTS,2:3,,RTA
2025-11-19,2025-11-09,INE009A01021,INFY,SPLIT,1:1,,RTA
