TxnDate,ValueDate,Narration,Amount,RefNo
2025-11-26,,UPI,181736,LED-001293
2025-11-27,2025-11-27,AUTO SWEEP,124681,LED-001294
2025-11-25,2025-11-25,AUTO SWEEP,-145836,LED-001295
2025-11-28,2025-11-30,BROKER PAYIN,71750,LED-001296
2025-11-27,2025-11-29,,173125,LED-001297
2025-11-25,,ATM WDL,-38528,LED-001298
2025-11-21,2025-11-23,IMPS,-67652,LED-001299
2025-11-25,,BROKER PAYOUT,18916,LED-001300
2025-11-23,2025-11-25,IMPS,-186954,LED-001301
2025-11-22,2025-11-24,,-24961,LED-001302
2025-11-27,2025-11-29,UPI,-140747,LED-001303
2025-11-18,2025-11-20,BROKER PAYOUT,-141576,LED-001304
2025-11-27,2025-11-28,UPI,-61198,LED-001305
2025-11-28,2025-11-29,ATM WDL,-123677,LED-001306
2025-11-20,2025-11-21,ATM WDL,194969,LED-001307
2025-11-21,2025-11-23,IMPS,-41649,LED-001308
2025-11-17,2025-11-17,SUSPICIOUS BULK WITHDRAWAL,-1222270,LED-001309
2025-11-17,2025-11-19,BROKER PAYIN,-113355,LED-001310
2025-12-01,2025-12-01,BROKER PAYOUT,-3986,LED-001311
2025-11-18,2025-11-20,BROKER PAYIN,33696,LED-001312
2025-11-27,2025-11-27,IMPS,131902,LED-001313
2025-11-29,2025-11-30,AUTO SWEEP,-113412,LED-001314
2025-11-26,2025-11-28,AUTO SWEEP,-190091,LED-001315
2025-11-17,,UPI,-67484,LED-001316
2025-11-20,2025-11-22,UPI,11389,LED-001317
2025-11-23,,UPI,-131730,LED-001318
2025-11-28,,IMPS,-39150,LED-001319
2025-11-26,2025-11-28,ATM WDL,-199168,LED-001320
2025-11-30,2025-12-01,UPI,-163704,LED-001321
2025-11-21,,ATM WDL,-67151,LED-001322
2025-11-24,2025-11-24,BROKER PAYIN,23592,LED-001323
2025-11-17,2025-11-17,SUSPICIOUS BULK WITHDRAWAL,-728181,LED-001324
2025-12-01,2025-12-02,,-112291,LED-001325
2025-11-28,2025-11-30,ATM WDL,-4663,LED-001326
2025-11-29,2025-11-30,IMPS,27559,LED-001327
2025-11-27,2025-11-29,ATM WDL,117215,LED-001328
2025-11-26,2025-11-26,BROKER PAYOUT,-27323,LED-001329
2025-11-29,2025-11-29,AUTO SWEEP,168301,LED-001330
2025-11-25,2025-11-27,BROKER PAYOUT,63426,LED-001331
2025-11-27,2025-11-27,BROKER PAYOUT,-29578,LED-001332
2025-11-25,2025-11-27,IMPS,-64904,LED-001333
2025-11-27,,BROKER PAYOUT,-132510,LED-001334
2025-11-30,2025-12-01,BROKER PAYOUT,-1817,LED-001335
2025-11-25,2025-11-27,BROKER PAYOUT,60251,LED-001336
2025-11-19,2025-11-19,IMPS,-114740,LED-001337
2025-11-29,2025-12-01,AUTO SWEEP,110150,LED-001338
2025-11-21,2025-11-22,IMPS,-9069,LED-001339
2025-11-23,2025-11-24,BROKER PAYIN,-31589,LED-001340
2025-11-22,2025-11-24,BROKER PAYIN,167088,LED-001341
2025-11-28,2025-11-29,ATM WDL,-104095,LED-001342
2025-11-25,2025-11-26,SUSPICIOUS BULK WITHDRAWAL,-1114210,LED-001343
2025-11-24,2025-11-24,UPI,-67379,LED-001344
2025-12-01,2025-12-01,BROKER PAYOUT,94256,LED-001345
2025-11-21,2025-11-21,BROKER PAYOUT,-27798,LED-001346
2025-11-23,2025-11-24,BROKER PAYIN,-99931,LED-001347
2025-11-29,2025-11-30,ATM WDL,134020,LED-001348
2025-11-27,2025-11-29,BROKER PAYIN,-27584,LED-001349
2025-11-29,2025-12-01,AUTO SWEEP,-37435,LED-001350
2025-11-20,2025-11-22,BROKER PAYOUT,-148223,LED-001351
2025-11-21,2025-11-22,BROKER PAYIN,132553,LED-001352
2025-11-27,2025-11-28,BROKER PAYIN,24947,LED-001353
2025-12-01,2025-12-01,IMPS,-127623,LED-001354
2025-11-26,2025-11-27,BROKER PAYOUT,-197171,LED-001355
2025-11-17,2025-11-17,ATM WDL,112187,LED-001356
2025-11-25,2025-11-26,AUTO SWEEP,-184041,LED-001357
2025-11-23,2025-11-25,IMPS,72587,LED-001358
2025-11-22,2025-11-22,IMPS,85083,LED-001359
2025-11-17,2025-11-17,ATM WDL,-91108,LED-001360
2025-11-24,2025-11-24,ATM WDL,-43562,LED-001361
2025-11-29,,IMPS,20291,LED-001362
2025-11-17,2025-11-19,ATM WDL,32118,LED-001363
2025-11-25,2025-11-26,UPI,137469,LED-001364
2025-12-01,2025-12-01,UPI,96814,LED-001365
2025-11-26,,AUTO SWEEP,53779,LED-001366
2025-12-01,2025-12-02,IMPS,101982,LED-001367
2025-11-18,2025-11-20,AUTO SWEEP,-52225,LED-001368
2025-11-27,2025-11-27,IMPS,-116875,LED-001369
2025-11-27,2025-11-27,UPI,-126644,LED-001370
2025-11-24,2025-11-26,BROKER PAYOUT,110121,LED-001371
2025-11-26,,BROKER PAYIN,185365,LED-001372
2025-11-29,2025-11-29,AUTO SWEEP,37587,LED-001373
2025-11-22,2025-11-22,AUTO SWEEP,146683,LED-001374
2025-11-29,2025-11-30,BROKER PAYOUT,92691,LED-001375
2025-11-24,2025-11-25,BROKER PAYOUT,-75316,LED-001376
2025-11-26,2025-11-28,ATM WDL,-165779,LED-001377
2025-11-22,,UPI,92837,LED-001378
2025-11-20,,IMPS,39765,LED-001379
2025-11-19,2025-11-19,IMPS,152213,LED-001380
2025-11-27,2025-11-28,IMPS,51799,LED-001381
2025-11-25,2025-11-25,,44165,LED-001382
2025-11-23,2025-11-23,AUTO SWEEP,-29050,LED-001383
2025-11-17,2025-11-19,UPI,-30611,LED-001384
2025-11-29,2025-11-29,BROKER PAYIN,-52471,LED-001385
2025-11-22,2025-11-22,BROKER PAYOUT,-5192,LED-001386
2025-11-28,2025-11-30,UPI,114138,LED-001387
2025-11-17,,,130187,LED-001388
2025-11-23,2025-11-24,IMPS,168387,LED-001389
2025-11-28,,UPI,35713,LED-001390
2025-11-19,2025-11-21,BROKER PAYIN,1012,LED-001391
2025-11-18,2025-11-18,BROKER PAYOUT,-117742,LED-001392
2025-11-17,2025-11-18,AUTO SWEEP,-29418,LED-001393
2025-12-01,2025-12-01,AUTO SWEEP,193700,LED-001394
2025-11-26,2025-11-26,AUTO SWEEP,148861,LED-001395
2025-11-17,2025-11-18,BROKER PAYOUT,178238,LED-001396
2025-11-21,2025-11-23,UPI,-170294,LED-001397
2025-12-01,2025-12-02,IMPS,-116921,LED-001398
2025-11-19,2025-11-19,ATM WDL,53485,LED-001399
2025-11-20,2025-11-20,AUTO SWEEP,101234,LED-001400
2025-11-29,2025-12-01,UPI,-111347,LED-001401
2025-12-01,2025-12-03,AUTO SWEEP,49937,LED-001402
2025-11-18,2025-11-19,BROKER PAYIN,-175708,LED-001403
2025-11-19,2025-11-19,BROKER PAYIN,116935,LED-001404
2025-11-21,2025-11-23,SUSPICIOUS BULK WITHDRAWAL,-1120502,LED-001405
2025-11-21,2025-11-23,BROKER PAYOUT,93392,LED-001406
2025-11-17,2025-11-19,IMPS,111460,LED-001407
2025-11-17,2025-11-18,UPI,42870,LED-001408
2025-12-01,2025-12-01,IMPS,-177835,LED-001409
2025-11-28,,ATM WDL,72139,LED-001410
2025-11-19,2025-11-20,ATM WDL,12309,LED-001411
2025-11-17,2025-11-18,BROKER PAYIN,-56257,LED-001412
2025-11-24,2025-11-24,IMPS,-148217,LED-001413
2025-11-25,2025-11-26,UPI,-147544,LED-001414
2025-11-27,2025-11-28,UPI,135822,LED-001415
2025-11-30,2025-12-02,UPI,-177589,LED-001416
2025-11-30,2025-11-30,UPI,-132536,LED-001417
2025-11-19,2025-11-20,ATM WDL,-183114,LED-001418
2025-11-27,2025-11-27,AUTO SWEEP,25801,LED-001419
2025-11-20,2025-11-22,AUTO SWEEP,-93421,LED-001420
2025-11-21,,AUTO SWEEP,-91021,LED-001421
2025-12-01,2025-12-01,BROKER PAYIN,-112945,LED-001422
2025-11-28,2025-11-30,,-179967,LED-001423
2025-11-21,2025-11-22,IMPS,-112638,LED-001424
2025-11-20,,BROKER PAYOUT,-105144,LED-001425
2025-11-18,2025-11-19,BROKER PAYOUT,121307,LED-001426
2025-11-29,2025-11-29,IMPS,146907,LED-001427
2025-11-19,2025-11-21,BROKER PAYIN,-109072,LED-001428
2025-11-19,2025-11-21,SUSPICIOUS BULK WITHDRAWAL,-1551582,LED-001429
2025-11-27,2025-11-28,ATM WDL,-90471,LED-001430
2025-11-29,2025-11-30,ATM WDL,-98977,LED-001431
2025-12-01,2025-12-03,ATM WDL,138511,LED-001432
2025-11-27,2025-11-28,UPI,-52604,LED-001433
2025-11-17,2025-11-18,BROKER PAYOUT,-5149,LED-001434
2025-11-26,2025-11-26,AUTO SWEEP,128142,LED-001435
2025-11-29,2025-12-01,ATM WDL,105146,LED-001436
2025-11-17,2025-11-18,BROKER PAYIN,95498,LED-001437
2025-11-19,2025-11-19,ATM WDL,197491,LED-001438
2025-11-17,2025-11-18,UPI,40568,LED-001439
2025-11-27,2025-11-28,UPI,-73655,LED-001440
2025-11-22,2025-11-22,BROKER PAYIN,14585,LED-001441
2025-11-19,2025-11-20,AUTO SWEEP,85530,LED-001442
2025-11-17,2025-11-18,UPI,94704,LED-001443
2025-11-23,2025-11-24,BROKER PAYOUT,52911,LED-001444
2025-11-19,2025-11-21,ATM WDL,-21807,LED-001445
2025-11-30,2025-12-02,BROKER PAYOUT,11844,LED-001446
2025-11-29,2025-12-01,IMPS,-151134,LED-001447
2025-11-20,2025-11-20,BROKER PAYIN,156376,LED-001448
2025-11-27,2025-11-28,UPI,-169296,LED-001449
2025-12-01,2025-12-02,IMPS,-170099,LED-001450
2025-11-20,2025-11-22,BROKER PAYOUT,91860,LED-001451
2025-11-29,2025-11-30,ATM WDL,46570,LED-001452
2025-11-25,2025-11-26,AUTO SWEEP,-197090,LED-001453
2025-11-27,2025-11-28,BROKER PAYIN,24148,LED-001454
2025-11-27,2025-11-29,ATM WDL,-83312,LED-001455
2025-11-30,2025-12-02,ATM WDL,-149168,LED-001456
2025-11-30,2025-12-02,,50340,LED-001457
2025-11-26,2025-11-26,ATM WDL,39722,LED-001458
2025-11-29,2025-11-29,UPI,95718,LED-001459
2025-11-20,,UPI,-80288,LED-001460
2025-11-23,2025-11-25,IMPS,-121488,LED-001461
2025-11-21,2025-11-23,,86195,LED-001462
2025-11-28,2025-11-30,SUSPICIOUS BULK WITHDRAWAL,-1317569,LED-001463
2025-11-28,2025-11-28,UPI,-69885,LED-001464
2025-11-28,2025-11-28,BROKER PAYOUT,-56653,LED-001465
2025-11-17,2025-11-19,BROKER PAYIN,-194378,LED-001466
2025-11-30,2025-11-30,IMPS,-824,LED-001467
2025-11-28,2025-11-28,,140559,LED-001468
2025-11-17,2025-11-17,AUTO SWEEP,6186,LED-001469
2025-11-29,2025-12-01,IMPS,69454,LED-001470
2025-11-23,2025-11-24,AUTO SWEEP,192713,LED-001471
2025-11-28,,IMPS,-184450,LED-001472
2025-11-20,2025-11-22,BROKER PAYOUT,-18593,LED-001473
2025-11-24,2025-11-26,BROKER PAYIN,-39716,LED-001474
2025-11-19,2025-11-20,ATM WDL,-97992,LED-001475
2025-11-26,2025-11-26,,75668,LED-001476
2025-11-21,2025-11-23,BROKER PAYOUT,46326,LED-001477
2025-11-19,2025-11-19,UPI,-158014,LED-001478
2025-11-22,2025-11-22,BROKER PAYOUT,88248,LED-001479
2025-11-24,2025-11-24,BROKER PAYIN,-85652,LED-001480
2025-11-30,2025-12-02,UPI,69431,LED-001481
2025-11-20,2025-11-22,BROKER PAYIN,94884,LED-001482
2025-11-30,2025-12-02,AUTO SWEEP,-182964,LED-001483
2025-11-24,2025-11-25,AUTO SWEEP,166240,LED-001484
2025-11-24,2025-11-25,BROKER PAYIN,-126333,LED-001485
2025-11-28,2025-11-29,ATM WDL,-116254,LED-001486
2025-11-29,2025-12-01,ATM WDL,160295,LED-001487
2025-11-25,2025-11-26,AUTO SWEEP,58773,LED-001488
2025-11-24,,BROKER PAYOUT,142247,LED-001489
2025-11-30,2025-12-01,ATM WDL,40287,LED-001490
2025-11-17,2025-11-18,IMPS,110502,LED-001491
2025-11-26,2025-11-28,,176177,LED-001492
2025-12-01,2025-12-02,UPI,-76328,LED-001493
2025-11-30,2025-11-30,UPI,-66238,LED-001494
2025-11-22,2025-11-23,,146358,LED-001495
2025-11-30,2025-11-30,ATM WDL,-44834,LED-001496
2025-11-18,2025-11-18,AUTO SWEEP,-169254,LED-001497
2025-11-21,2025-11-22,BROKER PAYIN,-46411,LED-001498
2025-11-24,2025-11-26,,-70324,LED-001499
2025-12-01,2025-12-02,BROKER PAYIN,154460,LED-001500
2025-12-01,2025-12-03,UPI,112138,LED-001501
2025-11-29,2025-11-30,BROKER PAYOUT,144999,LED-001502
2025-11-30,,UPI,-47324,LED-001503
2025-11-18,2025-11-19,BROKER PAYIN,44865,LED-001504
2025-11-20,2025-11-21,AUTO SWEEP,180397,LED-001505
2025-11-22,2025-11-23,BROKER PAYIN,188122,LED-001506
2025-11-28,2025-11-28,AUTO SWEEP,-171834,LED-001507
2025-11-29,2025-12-01,BROKER PAYOUT,-45419,LED-001508
2025-11-22,2025-11-23,BROKER PAYOUT,-23304,LED-001509
2025-11-17,2025-11-18,ATM WDL,-124525,LED-001510
2025-11-26,2025-11-26,ATM WDL,30158,LED-001511
2025-11-19,2025-11-19,UPI,123844,LED-001512
2025-11-20,2025-11-20,IMPS,60637,LED-001513
2025-11-30,2025-12-02,ATM WDL,-172715,LED-001514
2025-11-21,2025-11-22,AUTO SWEEP,-104412,LED-001515
2025-11-18,2025-11-20,BROKER PAYOUT,182458,LED-001516
2025-11-17,2025-11-17,AUTO SWEEP,174844,LED-001517
2025-11-25,2025-11-26,BROKER PAYOUT,-151161,LED-001518
2025-11-27,2025-11-27,AUTO SWEEP,-145405,LED-001519
2025-11-18,2025-11-19,BROKER PAYOUT,-35537,LED-001520
2025-11-27,2025-11-29,UPI,22378,LED-001521
2025-11-23,2025-11-23,BROKER PAYOUT,-79876,LED-001522
2025-11-27,2025-11-28,UPI,-11064,LED-001523
2025-11-26,2025-11-27,,176004,LED-001524
2025-11-25,2025-11-27,UPI,-80243,LED-001525
2025-11-29,2025-12-01,BROKER PAYIN,-186682,LED-001526
2025-11-25,2025-11-25,BROKER PAYOUT,117758,LED-001527
2025-11-30,2025-12-02,BROKER PAYOUT,56540,LED-001528
2025-11-25,2025-11-25,BROKER PAYIN,-15453,LED-001529
2025-11-23,2025-11-25,BROKER PAYOUT,-128938,LED-001530
2025-11-25,2025-11-27,AUTO SWEEP,82232,LED-001531
2025-11-20,2025-11-22,BROKER PAYIN,-16500,LED-001532
2025-11-24,2025-11-24,UPI,-125349,LED-001533
2025-11-23,,AUTO SWEEP,-155070,LED-001534
2025-11-30,2025-11-30,ATM WDL,-135942,LED-001535
2025-11-28,2025-11-28,AUTO SWEEP,19303,LED-001536
2025-11-24,2025-11-25,ATM WDL,-82852,LED-001537
2025-11-20,2025-11-22,BROKER PAYOUT,140050,LED-001538
2025-11-23,,AUTO SWEEP,152315,LED-001539
2025-11-28,2025-11-29,AUTO SWEEP,-53825,LED-001540
2025-11-23,2025-11-23,ATM WDL,79012,LED-001541
2025-12-01,2025-12-03,BROKER PAYIN,-186880,LED-001542
2025-11-18,2025-11-19,,-136722,LED-001543
2025-11-17,2025-11-18,AUTO SWEEP,-149310,LED-001544
2025-11-29,,AUTO SWEEP,-164040,LED-001545
2025-11-25,2025-11-27,BROKER PAYOUT,-34952,LED-001546
2025-12-01,2025-12-01,AUTO SWEEP,-31862,LED-001547
2025-11-17,2025-11-17,IMPS,88224,LED-001548
2025-11-20,2025-11-20,AUTO SWEEP,78098,LED-001549
2025-11-27,,BROKER PAYIN,14130,LED-001550
2025-11-20,2025-11-22,IMPS,-141710,LED-001551
2025-11-19,2025-11-21,BROKER PAYIN,-82349,LED-001552
2025-11-25,,BROKER PAYIN,-128462,LED-001553
2025-11-24,2025-11-24,IMPS,-15055,LED-001554
2025-11-20,2025-11-20,BROKER PAYOUT,120566,LED-001555
2025-12-01,,UPI,-10709,LED-001556
2025-11-24,,ATM WDL,-79868,LED-001557
2025-11-28,2025-11-28,ATM WDL,-86640,LED-001558
2025-11-22,2025-11-24,UPI,-30370,LED-001559
2025-11-27,2025-11-27,AUTO SWEEP,76090,LED-001560
2025-11-28,2025-11-30,BROKER PAYOUT,-99959,LED-001561
2025-11-20,2025-11-21,IMPS,37063,LED-001562
2025-11-28,,ATM WDL,93284,LED-001563
2025-11-18,,ATM WDL,-39227,LED-001564
2025-11-27,2025-11-28,BROKER PAYOUT,187984,LED-001565
2025-11-20,2025-11-22,BROKER PAYIN,-174866,LED-001566
2025-11-19,2025-11-21,BROKER PAYIN,-192657,LED-001567
2025-11-22,2025-11-24,ATM WDL,114853,LED-001568
2025-11-18,2025-11-18,BROKER PAYIN,-125717,LED-001569
2025-11-26,2025-11-26,AUTO SWEEP,-149417,LED-001570
2025-11-19,2025-11-19,BROKER PAYOUT,101715,LED-001571
2025-12-01,2025-12-01,BROKER PAYIN,20264,LED-001572
2025-11-20,2025-11-21,BROKER PAYIN,76378,LED-001573
2025-11-27,2025-11-27,ATM WDL,-97702,LED-001574
2025-11-24,2025-11-24,BROKER PAYIN,134839,LED-001575
2025-11-28,2025-11-28,BROKER PAYIN,-142439,LED-001576
2025-11-24,2025-11-26,IMPS,113914,LED-001577
2025-11-26,2025-11-27,UPI,160145,LED-001578
2025-11-24,2025-11-26,UPI,149579,LED-001579
2025-11-18,2025-11-19,IMPS,-100517,LED-001580
2025-11-30,2025-11-30,UPI,-139145,LED-001581
2025-11-28,2025-11-29,BROKER PAYIN,120948,LED-001582
2025-11-30,2025-12-02,ATM WDL,-79584,LED-001583
2025-11-23,2025-11-24,ATM WDL,13324,LED-001584
2025-11-27,2025-11-27,BROKER PAYOUT,185312,LED-001585
2025-11-25,2025-11-25,UPI,-199956,LED-001586
2025-11-18,2025-11-18,AUTO SWEEP,-73466,LED-001587
2025-11-18,2025-11-20,AUTO SWEEP,85574,LED-001588
2025-11-23,2025-11-24,BROKER PAYIN,-119196,LED-001589
2025-11-19,2025-11-20,BROKER PAYIN,132478,LED-001590
2025-11-30,2025-11-30,BROKER PAYOUT,131679,LED-001591
2025-11-30,2025-12-01,BROKER PAYOUT,-50671,LED-001592
2025-11-21,2025-11-21,UPI,-130705,LED-001593
2025-11-17,,AUTO SWEEP,182982,LED-001594
2025-12-01,2025-12-03,ATM WDL,160569,LED-001595
2025-11-30,2025-11-30,UPI,192441,LED-001596
2025-11-28,2025-11-30,IMPS,-189992,LED-001597
2025-11-26,2025-11-28,IMPS,110742,LED-001598
2025-11-25,2025-11-26,UPI,176382,LED-001599
2025-11-22,2025-11-24,BROKER PAYOUT,-114456,LED-001600
2025-11-21,2025-11-22,,144337,LED-001601
2025-11-18,2025-11-18,IMPS,56992,LED-001602
2025-11-21,,IMPS,-73235,LED-001603
2025-11-23,,UPI,-173932,LED-001604
2025-12-01,2025-12-01,AUTO SWEEP,152175,LED-001605
2025-11-22,2025-11-22,UPI,171706,LED-001606
2025-11-24,2025-11-24,ATM WDL,-25013,LED-001607
2025-11-23,2025-11-24,AUTO SWEEP,-196497,LED-001608
2025-11-18,2025-11-20,IMPS,-140311,LED-001609
2025-11-23,2025-11-24,BROKER PAYIN,-57870,LED-001610
2025-11-22,2025-11-22,ATM WDL,-3020,LED-001611
2025-11-29,2025-11-29,IMPS,-41781,LED-001612
2025-11-24,2025-11-25,UPI,-187218,LED-001613
2025-11-22,2025-11-23,BROKER PAYIN,102691,LED-001614
2025-11-29,2025-12-01,IMPS,-130582,LED-001615
2025-11-28,2025-11-29,AUTO SWEEP,-51490,LED-001616
2025-11-24,,BROKER PAYIN,65708,LED-001617
2025-12-01,2025-12-02,,32648,LED-001618
2025-11-30,2025-11-30,IMPS,182956,LED-001619
2025-11-17,,IMPS,-62897,LED-001620
2025-11-21,2025-11-23,BROKER PAYIN,199881,LED-001621
2025-11-20,2025-11-20,AUTO SWEEP,-69041,LED-001622
2025-11-28,2025-11-29,IMPS,-162833,LED-001623
2025-11-24,2025-11-25,UPI,-180517,LED-001624
2025-11-20,2025-11-20,BROKER PAYOUT,-18616,LED-001625
2025-11-24,2025-11-25,AUTO SWEEP,159727,LED-001626
2025-11-29,2025-12-01,IMPS,47275,LED-001627
2025-11-21,2025-11-22,IMPS,-58356,LED-001628
2025-11-28,2025-11-30,IMPS,14543,LED-001629
2025-11-27,2025-11-28,BROKER PAYIN,-32247,LED-001630
2025-11-17,2025-11-19,IMPS,72924,LED-001631
2025-11-23,2025-11-25,BROKER PAYOUT,173543,LED-001632
2025-11-30,2025-11-30,IMPS,-138307,LED-001633
2025-11-27,2025-11-27,UPI,166547,LED-001634
2025-11-24,2025-11-26,ATM WDL,-143655,LED-001635
2025-11-24,2025-11-26,BROKER PAYIN,100343,LED-001636
2025-11-25,2025-11-26,BROKER PAYIN,-54898,LED-001637
2025-11-22,,AUTO SWEEP,-126734,LED-001638
2025-11-25,,UPI,105698,LED-001639
2025-11-29,2025-11-30,UPI,29573,LED-001640
2025-11-30,2025-12-01,BROKER PAYIN,102153,LED-001641
2025-11-30,2025-12-01,BROKER PAYOUT,184058,LED-001642
2025-11-26,2025-11-28,BROKER PAYOUT,-1908,LED-001643
2025-11-27,2025-11-29,,-143970,LED-001644
2025-11-25,2025-11-26,BROKER PAYOUT,186131,LED-001645
2025-11-26,,BROKER PAYIN,79560,LED-001646
2025-11-24,2025-11-24,IMPS,-177097,LED-001647
2025-11-19,2025-11-20,IMPS,118744,LED-001648
2025-11-27,2025-11-29,IMPS,187555,LED-001649
2025-11-30,2025-12-02,IMPS,-23372,LED-001650
2025-11-28,2025-11-28,BROKER PAYOUT,37796,LED-001651
2025-11-18,2025-11-19,BROKER PAYOUT,130119,LED-001652
2025-12-01,2025-12-01,UPI,-95404,LED-001653
2025-11-28,2025-11-28,UPI,-101555,LED-001654
2025-11-25,2025-11-25,,-1672288,LED-001655
2025-11-20,2025-11-20,BROKER PAYIN,-92368,LED-001656
2025-11-28,2025-11-30,BROKER PAYOUT,141634,LED-001657
2025-11-18,2025-11-19,BROKER PAYIN,128729,LED-001658
2025-11-29,2025-12-01,BROKER PAYOUT,150827,LED-001659
2025-11-23,2025-11-23,UPI,-193737,LED-001660
2025-11-25,2025-11-27,ATM WDL,64185,LED-001661
2025-11-23,2025-11-25,BROKER PAYOUT,-83654,LED-001662
2025-11-26,2025-11-26,IMPS,23008,LED-001663
2025-11-26,2025-11-26,AUTO SWEEP,-146985,LED-001664
2025-11-19,2025-11-21,AUTO SWEEP,92211,LED-001665
2025-11-23,,,181612,LED-001666
2025-11-17,2025-11-18,BROKER PAYOUT,162316,LED-001667
2025-11-18,2025-11-19,UPI,192252,LED-001668
2025-11-26,2025-11-28,IMPS,-57337,LED-001669
2025-11-18,2025-11-18,ATM WDL,-174458,LED-001670
2025-11-20,2025-11-21,AUTO SWEEP,-145812,LED-001671
2025-11-30,2025-12-01,AUTO SWEEP,-194256,LED-001672
2025-12-01,2025-12-02,IMPS,-66957,LED-001673
2025-11-19,2025-11-21,IMPS,-163804,LED-001674
2025-11-21,2025-11-21,BROKER PAYOUT,-198157,LED-001675
2025-11-18,2025-11-19,BROKER PAYOUT,-157647,LED-001676
2025-11-30,2025-12-01,BROKER PAYIN,-184420,LED-001677
2025-11-28,2025-11-30,BROKER PAYIN,-56805,LED-001678
2025-11-24,2025-11-24,IMPS,143901,LED-001679
2025-11-24,2025-11-24,UPI,140381,LED-001680
2025-11-27,2025-11-28,BROKER PAYOUT,-191191,LED-001681
2025-11-29,2025-12-01,BROKER PAYIN,-40252,LED-001682
2025-11-21,,IMPS,-142991,LED-001683
2025-11-24,2025-11-25,BROKER PAYOUT,-142592,LED-001684
2025-11-18,2025-11-18,AUTO SWEEP,79216,LED-001685
2025-11-28,,ATM WDL,-172176,LED-001686
2025-12-01,2025-12-02,IMPS,100418,LED-001687
2025-11-27,2025-11-28,UPI,-102797,LED-001688
2025-11-29,2025-11-29,BROKER PAYIN,140047,LED-001689
2025-11-26,2025-11-27,BROKER PAYIN,83905,LED-001690
2025-11-20,,AUTO SWEEP,4566,LED-001691
2025-11-22,2025-11-24,IMPS,-69415,LED-001692
2025-11-28,2025-11-30,BROKER PAYOUT,158742,LED-001693
2025-11-17,2025-11-18,BROKER PAYOUT,189339,LED-001694
2025-11-19,2025-11-19,,42728,LED-001695
2025-11-21,2025-11-22,BROKER PAYIN,-89016,LED-001696
2025-11-25,,UPI,33588,LED-001697
2025-11-26,,ATM WDL,1120,LED-001698
2025-11-29,2025-11-29,BROKER PAYOUT,114798,LED-001699
2025-11-21,2025-11-23,BROKER PAYIN,-101345,LED-001700
2025-11-21,,BROKER PAYIN,87814,LED-001701
2025-12-01,2025-12-01,UPI,168586,LED-001702
2025-11-18,2025-11-20,ATM WDL,-149409,LED-001703
2025-11-24,2025-11-26,BROKER PAYIN,72875,LED-001704
2025-11-29,2025-11-29,ATM WDL,113288,LED-001705
2025-11-24,2025-11-26,IMPS,-18681,LED-001706
2025-11-26,2025-11-28,BROKER PAYOUT,-43703,LED-001707
2025-11-28,2025-11-28,BROKER PAYOUT,149893,LED-001708
2025-11-23,2025-11-24,IMPS,-67574,LED-001709
2025-11-25,,BROKER PAYOUT,120554,LED-001710
2025-11-20,2025-11-20,,-57643,LED-001711
2025-11-28,2025-11-30,BROKER PAYOUT,-64164,LED-001712
2025-11-20,2025-11-22,AUTO SWEEP,-87085,LED-001713
2025-11-29,2025-11-29,ATM WDL,-100425,LED-001714
2025-11-30,2025-12-02,BROKER PAYIN,-116848,LED-001715
2025-11-17,2025-11-17,UPI,46356,LED-001716
2025-11-17,2025-11-19,IMPS,9875,LED-001717
2025-11-17,,BROKER PAYIN,190901,LED-001718
2025-11-22,2025-11-24,BROKER PAYIN,46105,LED-001719
2025-12-01,2025-12-03,BROKER PAYIN,-140249,LED-001720
2025-11-29,2025-11-29,AUTO SWEEP,109994,LED-001721
2025-11-29,,IMPS,86992,LED-001722
2025-11-21,2025-11-21,UPI,120795,LED-001723
2025-11-24,2025-11-24,BROKER PAYIN,120522,LED-001724
2025-11-20,2025-11-20,UPI,91857,LED-001725
2025-11-17,2025-11-17,ATM WDL,161715,LED-001726
2025-11-24,2025-11-26,UPI,144491,LED-001727
2025-11-18,2025-11-18,UPI,-193178,LED-001728
2025-11-28,2025-11-30,BROKER PAYIN,-116155,LED-001729
2025-11-25,2025-11-25,ATM WDL,-100124,LED-001730
2025-11-28,2025-11-29,BROKER PAYIN,-12039,LED-001731
2025-11-21,2025-11-22,AUTO SWEEP,-189339,LED-001732
2025-11-17,,ATM WDL,-63497,LED-001733
2025-11-30,2025-11-30,ATM WDL,28881,LED-001734
2025-11-20,2025-11-20,IMPS,-45104,LED-001735
2025-11-28,2025-11-30,AUTO SWEEP,150451,LED-001736
2025-11-17,2025-11-18,ATM WDL,99447,LED-001737
2025-12-01,2025-12-02,BROKER PAYOUT,-145588,LED-001738
2025-11-23,2025-11-25,SUSPICIOUS BULK WITHDRAWAL,-1415616,LED-001739
2025-11-19,2025-11-20,UPI,-167669,LED-001740
2025-11-30,2025-11-30,BROKER PAYOUT,-181251,LED-001741
2025-11-22,2025-11-24,IMPS,73125,LED-001742
2025-11-17,,IMPS,-135863,LED-001743
2025-11-27,2025-11-28,AUTO SWEEP,170100,LED-001744
2025-11-26,2025-11-27,AUTO SWEEP,187235,LED-001745
2025-11-29,2025-12-01,,188006,LED-001746
2025-12-01,2025-12-01,IMPS,-162355,LED-001747
2025-11-22,2025-11-24,ATM WDL,-199765,LED-001748
