TxnDate,ValueDate,Description,Debit,Credit,Balance,RefNo
2025-11-17,2025-11-19,BANK / DP CHARGES,925,,-523726.0,TXN-0001058
2025-11-24,2025-11-24,MISC ADJUSTMENT,,37354,-486372.0,TXN-0001059
2025-11-25,2025-11-26,PAYOUT TO CLIENT,98809,,-585181.0,TXN-0001060
2025-11-21,2025-11-23,CLIENT FUNDING - RTGS,,262950,-322231.0,TXN-0001061
2025-11-23,2025-11-24,BANK / DP CHARGES,418,,-322649.0,TXN-0001062
2025-11-25,2025-11-26,BROKERAGE / TRADE SETTLEMENT,83355,,-406004.0,TXN-0001063
2025-11-27,2025-11-27,CLIENT FUNDING - RTGS,,181262,-224742.0,TXN-0001064
2025-11-29,2025-12-01,BROKERAGE / TRADE SETTLEMENT,75267,,-300009.0,TXN-0001065
2025-11-26,2025-11-27,BANK / DP CHARGES,1070,,-301079.0,TXN-0001066
2025-11-17,2025-11-18,PAYOUT TO CLIENT,60645,,-361724.0,TXN-0001067
2025-11-23,2025-11-24,MISC ADJUSTMENT,,42074,-319650.0,TXN-0001068
2025-11-22,2025-11-22,PAYOUT TO CLIENT,101370,,-421020.0,TXN-0001069
2025-11-18,2025-11-18,BANK / DP CHARGES,547,,-421567.0,TXN-0001070
2025-11-15,2025-11-15,CLIENT FUNDING - RTGS,,149316,-272251.0,TXN-0001071
2025-11-29,2025-11-29,BROKERAGE / TRADE SETTLEMENT,99101,,-371352.0,TXN-0001072
2025-11-23,2025-11-24,CLIENT FUNDING - RTGS,,288145,-83207.0,TXN-0001073
2025-11-20,2025-11-20,PAYOUT TO CLIENT,28593,,-111800.0,TXN-0001074
2025-11-26,2025-11-27,BROKERAGE / TRADE SETTLEMENT,69104,,-180904.0,TXN-0001075
2025-11-20,2025-11-20,MISC ADJUSTMENT,21595,,-202499.0,TXN-0001076
2025-11-17,2025-11-19,PAYOUT TO CLIENT,79431,,-281930.0,TXN-0001077
2025-11-23,2025-11-23,MISC ADJUSTMENT,49648,,-331578.0,TXN-0001078
2025-11-29,2025-11-30,BANK / DP CHARGES,256,,-331834.0,TXN-0001079
2025-11-25,2025-11-25,MISC ADJUSTMENT,34124,,-365958.0,TXN-0001080
2025-11-22,2025-11-22,MISC ADJUSTMENT,31022,,-396980.0,TXN-0001081
2025-11-26,2025-11-28,MISC ADJUSTMENT,32371,,-429351.0,TXN-0001082
2025-11-20,2025-11-21,CLIENT FUNDING - RTGS,,67989,-361362.0,TXN-0001083
2025-11-16,2025-11-18,BANK / DP CHARGES,996,,-362358.0,TXN-0001084
2025-11-29,2025-11-30,BROKERAGE / TRADE SETTLEMENT,147237,,-509595.0,TXN-0001085
2025-11-17,2025-11-17,BROKERAGE / TRADE SETTLEMENT,64784,,-574379.0,TXN-0001086
2025-11-26,2025-11-26,BROKERAGE / TRADE SETTLEMENT,12335,,-586714.0,TXN-0001087
2025-11-25,2025-11-25,BANK / DP CHARGES,1503,,-588217.0,TXN-0001088
2025-11-22,2025-11-22,PAYOUT TO CLIENT,182201,,-770418.0,TXN-0001089
2025-11-23,2025-11-23,MISC ADJUSTMENT,8529,,-778947.0,TXN-0001090
2025-11-15,2025-11-17,MISC ADJUSTMENT,,30843,-748104.0,TXN-0001091
2025-11-25,2025-11-25,PAYOUT TO CLIENT,86357,,-834461.0,TXN-0001092
2025-11-22,2025-11-24,BROKERAGE / TRADE SETTLEMENT,59961,,-894422.0,TXN-0001093
2025-11-20,2025-11-20,MISC ADJUSTMENT,27911,,-922333.0,TXN-0001094
2025-11-27,2025-11-27,BANK / DP CHARGES,1896,,-924229.0,TXN-0001095
2025-11-20,2025-11-20,PAYOUT TO CLIENT,36671,,-960900.0,TXN-0001096
2025-11-17,2025-11-17,BROKERAGE / TRADE SETTLEMENT,125438,,-1086338.0,TXN-0001097
2025-11-28,2025-11-30,BROKERAGE / TRADE SETTLEMENT,64719,,-1151057.0,TXN-0001098
2025-11-20,2025-11-20,CLIENT FUNDING - RTGS,,187072,-963985.0,TXN-0001099
2025-11-25,2025-11-26,CLIENT FUNDING - RTGS,,173146,-790839.0,TXN-0001100
2025-11-29,2025-11-29,PAYOUT TO CLIENT,36335,,-827174.0,TXN-0001101
2025-11-24,2025-11-24,BROKERAGE / TRADE SETTLEMENT,148149,,-975323.0,TXN-0001102
2025-11-17,2025-11-19,MISC ADJUSTMENT,18728,,-994051.0,TXN-0001103
2025-11-22,2025-11-24,BROKERAGE / TRADE SETTLEMENT,107136,,-1101187.0,TXN-0001104
2025-11-26,2025-11-26,CLIENT FUNDING - RTGS,,81989,-1019198.0,TXN-0001105
2025-11-29,2025-12-01,CLIENT FUNDING - RTGS,,129504,-889694.0,TXN-0001106
2025-11-15,2025-11-17,BANK / DP CHARGES,1252,,-890946.0,TXN-0001107
2025-11-15,2025-11-15,MISC ADJUSTMENT,,49275,-841671.0,TXN-0001108
2025-11-26,2025-11-27,MISC ADJUSTMENT,,23692,-817979.0,TXN-0001109
2025-11-24,2025-11-24,PAYOUT TO CLIENT,182743,,-1000722.0,TXN-0001110
2025-11-16,2025-11-18,BANK / DP CHARGES,1528,,-1002250.0,TXN-0001111
2025-11-26,2025-11-26,MISC ADJUSTMENT,20506,,-1022756.0,TXN-0001112
2025-11-25,2025-11-27,BROKERAGE / TRADE SETTLEMENT,74676,,-1097432.0,TXN-0001113
2025-11-17,2025-11-19,PAYOUT TO CLIENT,135197,,-1232629.0,TXN-0001114
2025-11-19,2025-11-21,BANK / DP CHARGES,855,,-1233484.0,TXN-0001115
2025-11-22,2025-11-22,PAYOUT TO CLIENT,171012,,-1404496.0,TXN-0001116
2025-11-26,2025-11-26,CLIENT FUNDING - RTGS,,298747,-1105749.0,TXN-0001117
2025-11-25,2025-11-25,BROKERAGE / TRADE SETTLEMENT,87290,,-1193039.0,TXN-0001118
2025-11-26,2025-11-27,CLIENT FUNDING - RTGS,,80667,-1112372.0,TXN-0001119
2025-11-22,2025-11-22,BROKERAGE / TRADE SETTLEMENT,140844,,-1253216.0,TXN-0001120
2025-11-28,2025-11-28,BANK / DP CHARGES,826,,-1254042.0,TXN-0001121
2025-11-26,2025-11-27,BROKERAGE / TRADE SETTLEMENT,18395,,-1272437.0,TXN-0001122
2025-11-15,2025-11-15,CLIENT FUNDING - RTGS,,73823,-1198614.0,TXN-0001123
2025-11-27,2025-11-28,BROKERAGE / TRADE SETTLEMENT,46277,,-1244891.0,TXN-0001124
2025-11-20,2025-11-20,MISC ADJUSTMENT,,18058,-1226833.0,TXN-0001125
2025-11-27,2025-11-28,CLIENT FUNDING - RTGS,,205531,-1021302.0,TXN-0001126
2025-11-15,2025-11-15,MISC ADJUSTMENT,,9298,-1012004.0,TXN-0001127
2025-11-23,2025-11-25,MISC ADJUSTMENT,27423,,-1039427.0,TXN-0001128
2025-11-25,2025-11-25,PAYOUT TO CLIENT,46010,,-1085437.0,TXN-0001129
2025-11-16,2025-11-16,PAYOUT TO CLIENT,128490,,-1213927.0,TXN-0001130
2025-11-21,2025-11-21,PAYOUT TO CLIENT,103428,,-1317355.0,TXN-0001131
2025-11-22,2025-11-22,MISC ADJUSTMENT,,32327,-1285028.0,TXN-0001132
2025-11-24,2025-11-24,BROKERAGE / TRADE SETTLEMENT,39148,,-1324176.0,TXN-0001133
2025-11-23,2025-11-25,BROKERAGE / TRADE SETTLEMENT,100384,,-1424560.0,TXN-0001134
2025-11-22,2025-11-22,CLIENT FUNDING - RTGS,,151918,-1272642.0,TXN-0001135
2025-11-19,2025-11-19,MISC ADJUSTMENT,49105,,-1321747.0,TXN-0001136
2025-11-20,2025-11-20,MISC ADJUSTMENT,,8648,-1313099.0,TXN-0001137
2025-11-23,2025-11-23,PAYOUT TO CLIENT,162354,,-1475453.0,TXN-0001138
2025-11-29,2025-11-29,BROKERAGE / TRADE SETTLEMENT,21158,,-1496611.0,TXN-0001139
2025-11-27,2025-11-27,BANK / DP CHARGES,1456,,-1498067.0,TXN-0001140
2025-11-16,2025-11-17,BROKERAGE / TRADE SETTLEMENT,116414,,-1614481.0,TXN-0001141
2025-11-15,2025-11-17,PAYOUT TO CLIENT,70482,,-1684963.0,TXN-0001142
2025-11-26,2025-11-26,CLIENT FUNDING - RTGS,,52936,-1632027.0,TXN-0001143
2025-11-29,2025-11-29,BROKERAGE / TRADE SETTLEMENT,139869,,-1771896.0,TXN-0001144
2025-11-25,2025-11-25,BANK / DP CHARGES,537,,-1772433.0,TXN-0001145
2025-11-15,2025-11-17,BANK / DP CHARGES,1800,,-1774233.0,TXN-0001146
2025-11-21,2025-11-23,PAYOUT TO CLIENT,142932,,-1917165.0,TXN-0001147
2025-11-23,2025-11-25,PAYOUT TO CLIENT,121584,,-2038749.0,TXN-0001148
2025-11-18,2025-11-18,MISC ADJUSTMENT,38668,,-2077417.0,TXN-0001149
2025-11-23,2025-11-25,PAYOUT TO CLIENT,53539,,-2130956.0,TXN-0001150
2025-11-24,2025-11-24,CLIENT FUNDING - RTGS,,162148,-1968808.0,TXN-0001151
2025-11-21,2025-11-21,MISC ADJUSTMENT,,10151,-1958657.0,TXN-0001152
2025-11-25,2025-11-25,PAYOUT TO CLIENT,97484,,-2056141.0,TXN-0001153
2025-11-16,2025-11-16,CLIENT FUNDING - RTGS,,160609,-1895532.0,TXN-0001154
2025-11-23,2025-11-25,CLIENT FUNDING - RTGS,,107876,-1787656.0,TXN-0001155
2025-11-19,2025-11-21,PAYOUT TO CLIENT,149550,,-1937206.0,TXN-0001156
2025-11-24,2025-11-24,PAYOUT TO CLIENT,101125,,-2038331.0,TXN-0001157
2025-11-28,2025-11-30,PAYOUT TO CLIENT,61758,,-2100089.0,TXN-0001158
2025-11-25,2025-11-27,BROKERAGE / TRADE SETTLEMENT,76433,,-2176522.0,TXN-0001159
2025-11-15,2025-11-17,CLIENT FUNDING - RTGS,,264363,-1912159.0,TXN-0001160
2025-11-16,2025-11-16,BROKERAGE / TRADE SETTLEMENT,148800,,-2060959.0,TXN-0001161
2025-11-23,2025-11-23,CLIENT FUNDING - RTGS,,66890,-1994069.0,TXN-0001162
2025-11-26,2025-11-28,MISC ADJUSTMENT,,13825,-1980244.0,TXN-0001163
2025-11-17,2025-11-17,BANK / DP CHARGES,1101,,-1981345.0,TXN-0001164
2025-11-17,2025-11-18,MISC ADJUSTMENT,,48093,-1933252.0,TXN-0001165
2025-11-28,2025-11-28,PAYOUT TO CLIENT,126953,,-2060205.0,TXN-0001166
2025-11-22,2025-11-24,BANK / DP CHARGES,1279,,-2061484.0,TXN-0001167
2025-11-17,2025-11-19,MISC ADJUSTMENT,47381,,-2108865.0,TXN-0001168
2025-11-20,2025-11-21,CLIENT FUNDING - RTGS,,223056,-1885809.0,TXN-0001169
2025-11-19,2025-11-20,CLIENT FUNDING - RTGS,,256755,-1629054.0,TXN-0001170
2025-11-15,2025-11-16,CLIENT FUNDING - RTGS,,67282,-1561772.0,TXN-0001171
2025-11-20,2025-11-20,BROKERAGE / TRADE SETTLEMENT,80102,,-1641874.0,TXN-0001172
2025-11-26,2025-11-28,PAYOUT TO CLIENT,133732,,-1775606.0,TXN-0001173
2025-11-17,2025-11-18,BANK / DP CHARGES,635,,-1776241.0,TXN-0001174
2025-11-29,2025-11-30,PAYOUT TO CLIENT,23244,,-1799485.0,TXN-0001175
2025-11-23,2025-11-23,PAYOUT TO CLIENT,199294,,-1998779.0,TXN-0001176
2025-11-27,2025-11-27,PAYOUT TO CLIENT,145804,,-2144583.0,TXN-0001177
2025-11-23,2025-11-23,BANK / DP CHARGES,749,,-2145332.0,TXN-0001178
2025-11-29,2025-11-30,PAYOUT TO CLIENT,144100,,-2289432.0,TXN-0001179
2025-11-17,2025-11-19,BANK / DP CHARGES,1935,,-2291367.0,TXN-0001180
2025-11-22,2025-11-23,MISC ADJUSTMENT,40740,,-2332107.0,TXN-0001181
2025-11-29,2025-11-29,PAYOUT TO CLIENT,54697,,-2386804.0,TXN-0001182
2025-11-16,2025-11-17,BROKERAGE / TRADE SETTLEMENT,43742,,-2430546.0,TXN-0001183
2025-11-29,2025-11-29,MISC ADJUSTMENT,44948,,-2475494.0,TXN-0001184
2025-11-19,2025-11-19,MISC ADJUSTMENT,46937,,-2522431.0,TXN-0001185
2025-11-26,2025-11-26,PAYOUT TO CLIENT,181261,,-2703692.0,TXN-0001186
2025-11-29,2025-11-29,CLIENT FUNDING - RTGS,,275365,-2428327.0,TXN-0001187
2025-11-17,2025-11-19,CLIENT FUNDING - RTGS,,269167,-2159160.0,TXN-0001188
2025-11-25,2025-11-25,PAYOUT TO CLIENT,161862,,-2321022.0,TXN-0001189
2025-11-18,2025-11-19,CLIENT FUNDING - RTGS,,112080,-2208942.0,TXN-0001190
2025-11-15,2025-11-16,BANK / DP CHARGES,1364,,-2210306.0,TXN-0001191
2025-11-27,2025-11-27,PAYOUT TO CLIENT,199584,,-2409890.0,TXN-0001192
2025-11-27,2025-11-28,BANK / DP CHARGES,1102,,-2410992.0,TXN-0001193
2025-11-15,2025-11-16,PAYOUT TO CLIENT,179547,,-2590539.0,TXN-0001194
2025-11-20,2025-11-20,BANK / DP CHARGES,1921,,-2592460.0,TXN-0001195
2025-11-18,2025-11-19,MISC ADJUSTMENT,,26644,-2565816.0,TXN-0001196
2025-11-25,2025-11-26,PAYOUT TO CLIENT,57518,,-2623334.0,TXN-0001197
2025-11-27,2025-11-27,PAYOUT TO CLIENT,95741,,-2719075.0,TXN-0001198
2025-11-20,2025-11-20,PAYOUT TO CLIENT,180521,,-2899596.0,TXN-0001199
2025-11-27,2025-11-27,BROKERAGE / TRADE SETTLEMENT,24816,,-2924412.0,TXN-0001200
2025-11-27,2025-11-28,BROKERAGE / TRADE SETTLEMENT,87158,,-3011570.0,TXN-0001201
2025-11-23,2025-11-23,PAYOUT TO CLIENT,187347,,-3198917.0,TXN-0001202
2025-11-25,2025-11-25,BANK / DP CHARGES,413,,-3199330.0,TXN-0001203
2025-11-18,2025-11-19,MISC ADJUSTMENT,30353,,-3229683.0,TXN-0001204
2025-11-15,2025-11-15,MISC ADJUSTMENT,,48122,-3181561.0,TXN-0001205
2025-11-18,2025-11-18,CLIENT FUNDING - RTGS,,283458,-2898103.0,TXN-0001206
2025-11-16,2025-11-17,BANK / DP CHARGES,1558,,-2899661.0,TXN-0001207
2025-11-27,2025-11-29,CLIENT FUNDING - RTGS,,173867,-2725794.0,TXN-0001208
2025-11-26,2025-11-26,BANK / DP CHARGES,1537,,-2727331.0,TXN-0001209
2025-11-28,2025-11-29,PAYOUT TO CLIENT,24483,,-2751814.0,TXN-0001210
2025-11-18,2025-11-19,BROKERAGE / TRADE SETTLEMENT,134600,,-2886414.0,TXN-0001211
2025-11-29,2025-11-29,BROKERAGE / TRADE SETTLEMENT,33736,,-2920150.0,TXN-0001212
2025-11-28,2025-11-29,PAYOUT TO CLIENT,106995,,-3027145.0,TXN-0001213
2025-11-17,2025-11-17,PAYOUT TO CLIENT,56998,,-3084143.0,TXN-0001214
2025-11-27,2025-11-29,MISC ADJUSTMENT,17809,,-3101952.0,TXN-0001215
2025-11-29,2025-11-29,BROKERAGE / TRADE SETTLEMENT,14698,,-3116650.0,TXN-0001216
2025-11-23,2025-11-23,BROKERAGE / TRADE SETTLEMENT,131852,,-3248502.0,TXN-0001217
2025-11-25,2025-11-25,MISC ADJUSTMENT,49790,,-3298292.0,TXN-0001218
2025-11-29,2025-11-29,MISC ADJUSTMENT,,27207,-3271085.0,TXN-0001219
2025-11-23,2025-11-23,CLIENT FUNDING - RTGS,,63444,-3207641.0,TXN-0001220
2025-11-24,2025-11-24,BANK / DP CHARGES,660,,-3208301.0,TXN-0001221
2025-11-25,2025-11-25,MISC ADJUSTMENT,,26646,-3181655.0,TXN-0001222
2025-11-25,2025-11-27,MISC ADJUSTMENT,36617,,-3218272.0,TXN-0001223
2025-11-18,2025-11-18,MISC ADJUSTMENT,22328,,-3240600.0,TXN-0001224
2025-11-18,2025-11-18,CLIENT FUNDING - RTGS,,82325,-3158275.0,TXN-0001225
2025-11-21,2025-11-21,BANK / DP CHARGES,1973,,-3160248.0,TXN-0001226
2025-11-26,2025-11-26,PAYOUT TO CLIENT,183861,,-3344109.0,TXN-0001227
2025-11-15,2025-11-17,MISC ADJUSTMENT,,46594,-3297515.0,TXN-0001228
2025-11-21,2025-11-23,CLIENT FUNDING - RTGS,,90180,-3207335.0,TXN-0001229
2025-11-22,2025-11-23,CLIENT FUNDING - RTGS,,282659,-2924676.0,TXN-0001230
2025-11-27,2025-11-27,PAYOUT TO CLIENT,20625,,-2945301.0,TXN-0001231
2025-11-16,2025-11-16,MISC ADJUSTMENT,8415,,-2953716.0,TXN-0001232
2025-11-21,2025-11-22,CLIENT FUNDING - RTGS,,258217,-2695499.0,TXN-0001233
2025-11-26,2025-11-27,MISC ADJUSTMENT,,27468,-2668031.0,TXN-0001234
2025-11-22,2025-11-22,CLIENT FUNDING - RTGS,,77084,-2590947.0,TXN-0001235
2025-11-20,2025-11-20,BROKERAGE / TRADE SETTLEMENT,132139,,-2723086.0,TXN-0001236
2025-11-26,2025-11-28,CLIENT FUNDING - RTGS,,184278,-2538808.0,TXN-0001237
2025-11-17,2025-11-17,PAYOUT TO CLIENT,160102,,-2698910.0,TXN-0001238
2025-11-19,2025-11-20,BANK / DP CHARGES,255,,-2699165.0,TXN-0001239
2025-11-16,2025-11-16,MISC ADJUSTMENT,,45759,-2653406.0,TXN-0001240
2025-11-16,2025-11-16,BROKERAGE / TRADE SETTLEMENT,32887,,-2686293.0,TXN-0001241
2025-11-21,2025-11-21,BANK / DP CHARGES,856,,-2687149.0,TXN-0001242
2025-11-27,2025-11-27,MISC ADJUSTMENT,,9936,-2677213.0,TXN-0001243
2025-11-25,2025-11-26,CLIENT FUNDING - RTGS,,99129,-2578084.0,TXN-0001244
2025-11-29,2025-11-30,CLIENT FUNDING - RTGS,,151251,-2426833.0,TXN-0001245
2025-11-21,2025-11-22,MISC ADJUSTMENT,,6629,-2420204.0,TXN-0001246
2025-11-25,2025-11-26,CLIENT FUNDING - RTGS,,271553,-2148651.0,TXN-0001247
2025-11-28,2025-11-30,MISC ADJUSTMENT,,23746,-2124905.0,TXN-0001248
2025-11-23,2025-11-25,CLIENT FUNDING - RTGS,,269404,-1855501.0,TXN-0001249
2025-11-18,2025-11-18,PAYOUT TO CLIENT,124422,,-1979923.0,TXN-0001250
2025-11-23,2025-11-25,BANK / DP CHARGES,1558,,-1981481.0,TXN-0001251
2025-11-26,2025-11-27,CLIENT FUNDING - RTGS,,225017,-1756464.0,TXN-0001252
2025-11-24,2025-11-26,PAYOUT TO CLIENT,176054,,-1932518.0,TXN-0001253
2025-11-23,2025-11-24,CLIENT FUNDING - RTGS,,166984,-1765534.0,TXN-0001254
2025-11-24,2025-11-26,BANK / DP CHARGES,235,,-1765769.0,TXN-0001255
2025-11-19,2025-11-19,PAYOUT TO CLIENT,84841,,-1850610.0,TXN-0001256
2025-11-23,2025-11-25,MISC ADJUSTMENT,,24974,-1825636.0,TXN-0001257
2025-11-23,2025-11-23,MISC ADJUSTMENT,,42775,-1782861.0,TXN-0001258
2025-11-19,2025-11-19,BANK / DP CHARGES,203,,-1783064.0,TXN-0001259
2025-11-28,2025-11-29,PAYOUT TO CLIENT,174802,,-1957866.0,TXN-0001260
2025-11-23,2025-11-23,BANK / DP CHARGES,762,,-1958628.0,TXN-0001261
2025-11-27,2025-11-29,BANK / DP CHARGES,1592,,-1960220.0,TXN-0001262
2025-11-19,2025-11-21,BANK / DP CHARGES,1261,,-1961481.0,TXN-0001263
2025-11-24,2025-11-24,PAYOUT TO CLIENT,186280,,-2147761.0,TXN-0001264
2025-11-20,2025-11-21,BROKERAGE / TRADE SETTLEMENT,43455,,-2191216.0,TXN-0001265
2025-11-25,2025-11-26,BROKERAGE / TRADE SETTLEMENT,119419,,-2310635.0,TXN-0001266
2025-11-19,2025-11-19,BROKERAGE / TRADE SETTLEMENT,144767,,-2455402.0,TXN-0001267
2025-11-25,2025-11-25,MISC ADJUSTMENT,44417,,-2499819.0,TXN-0001268
2025-11-17,2025-11-17,CLIENT FUNDING - RTGS,,141852,-2357967.0,TXN-0001269
2025-11-26,2025-11-26,BANK / DP CHARGES,851,,-2358818.0,TXN-0001270
2025-11-21,2025-11-22,PAYOUT TO CLIENT,42260,,-2401078.0,TXN-0001271
2025-11-24,2025-11-24,MISC ADJUSTMENT,27535,,-2428613.0,TXN-0001272
2025-11-19,2025-11-21,BANK / DP CHARGES,625,,-2429238.0,TXN-0001273
2025-11-21,2025-11-21,BANK / DP CHARGES,2000,,-2431238.0,TXN-0001274
2025-11-19,2025-11-19,CLIENT FUNDING - RTGS,,98329,-2332909.0,TXN-0001275
2025-11-26,2025-11-26,MISC ADJUSTMENT,,8743,-2324166.0,TXN-0001276
2025-11-24,2025-11-26,MISC ADJUSTMENT,22275,,-2346441.0,TXN-0001277
2025-11-18,2025-11-20,PAYOUT TO CLIENT,78190,,-2424631.0,TXN-0001278
2025-11-16,2025-11-16,CLIENT FUNDING - RTGS,,255177,-2169454.0,TXN-0001279
2025-11-25,2025-11-26,PAYOUT TO CLIENT,77226,,-2246680.0,TXN-0001280
2025-11-24,2025-11-25,CLIENT FUNDING - RTGS,,114525,-2132155.0,TXN-0001281
2025-11-25,2025-11-26,BROKERAGE / TRADE SETTLEMENT,112711,,-2244866.0,TXN-0001282
2025-11-23,2025-11-24,MISC ADJUSTMENT,34864,,-2279730.0,TXN-0001283
2025-11-22,2025-11-23,CLIENT FUNDING - RTGS,,244553,-2035177.0,TXN-0001284
2025-11-28,2025-11-28,BANK / DP CHARGES,1976,,-2037153.0,TXN-0001285
2025-11-15,2025-11-17,BROKERAGE / TRADE SETTLEMENT,36566,,-2073719.0,TXN-0001286
2025-11-27,2025-11-28,CLIENT FUNDING - RTGS,,164867,-1908852.0,TXN-0001287
2025-11-21,2025-11-21,CLIENT FUNDING - RTGS,,153424,-1755428.0,TXN-0001288
2025-11-17,2025-11-19,BROKERAGE / TRADE SETTLEMENT,88013,,-1843441.0,TXN-0001289
2025-11-20,2025-11-21,PAYOUT TO CLIENT,119775,,-1963216.0,TXN-0001290
2025-11-24,2025-11-24,BROKERAGE / TRADE SETTLEMENT,145871,,-2109087.0,TXN-0001291
2025-11-19,2025-11-19,CLIENT FUNDING - RTGS,,243915,-1865172.0,TXN-0001292
2025-11-16,2025-11-18,BANK / DP CHARGES,1744,,-1866916.0,TXN-0001293
2025-11-26,2025-11-27,CLIENT FUNDING - RTGS,,51380,-1815536.0,TXN-0001294
2025-11-23,2025-11-24,CLIENT FUNDING - RTGS,,230396,-1585140.0,TXN-0001295
2025-11-15,2025-11-15,BROKERAGE / TRADE SETTLEMENT,122013,,-1707153.0,TXN-0001296
2025-11-26,2025-11-26,PAYOUT TO CLIENT,175754,,-1882907.0,TXN-0001297
2025-11-24,2025-11-24,MISC ADJUSTMENT,,46869,-1836038.0,TXN-0001298
2025-11-18,2025-11-18,CLIENT FUNDING - RTGS,,125118,-1710920.0,TXN-0001299
2025-11-23,2025-11-24,MISC ADJUSTMENT,44264,,-1755184.0,TXN-0001300
2025-11-24,2025-11-26,BANK / DP CHARGES,987,,-1756171.0,TXN-0001301
2025-11-28,2025-11-29,CLIENT FUNDING - RTGS,,101066,-1655105.0,TXN-0001302
2025-11-21,2025-11-21,CLIENT FUNDING - RTGS,,219324,-1435781.0,TXN-0001303
2025-11-19,2025-11-21,BROKERAGE / TRADE SETTLEMENT,45915,,-1481696.0,TXN-0001304
2025-11-24,2025-11-25,MISC ADJUSTMENT,,13799,-1467897.0,TXN-0001305
2025-11-19,2025-11-19,CLIENT FUNDING - RTGS,,78071,-1389826.0,TXN-0001306
2025-11-24,2025-11-24,MISC ADJUSTMENT,,47506,-1342320.0,TXN-0001307
2025-11-25,2025-11-25,PAYOUT TO CLIENT,145610,,-1487930.0,TXN-0001308
2025-11-23,2025-11-23,BROKERAGE / TRADE SETTLEMENT,17759,,-1505689.0,TXN-0001309
2025-11-23,2025-11-25,MISC ADJUSTMENT,23401,,-1529090.0,TXN-0001310
2025-11-22,2025-11-22,PAYOUT TO CLIENT,144764,,-1673854.0,TXN-0001311
2025-11-22,2025-11-22,PAYOUT TO CLIENT,119580,,-1793434.0,TXN-0001312
2025-11-19,2025-11-21,BROKERAGE / TRADE SETTLEMENT,14213,,-1807647.0,TXN-0001313
2025-11-17,2025-11-19,MISC ADJUSTMENT,,38179,-1769468.0,TXN-0001314
2025-11-22,2025-11-22,CLIENT FUNDING - RTGS,,204748,-1564720.0,TXN-0001315
2025-11-17,2025-11-17,MISC ADJUSTMENT,35150,,-1599870.0,TXN-0001316
2025-11-22,2025-11-22,PAYOUT TO CLIENT,169790,,-1769660.0,TXN-0001317
2025-11-23,2025-11-25,BROKERAGE / TRADE SETTLEMENT,30137,,-1799797.0,TXN-0001318
2025-11-17,2025-11-17,BANK / DP CHARGES,1844,,-1801641.0,TXN-0001319
2025-11-15,2025-11-17,BANK / DP CHARGES,1212,,-1802853.0,TXN-0001320
2025-11-21,2025-11-22,CLIENT FUNDING - RTGS,,255641,-1547212.0,TXN-0001321
2025-11-22,2025-11-22,BANK / DP CHARGES,401,,-1547613.0,TXN-0001322
2025-11-15,2025-11-15,MISC ADJUSTMENT,30091,,-1577704.0,TXN-0001323
2025-11-23,2025-11-25,PAYOUT TO CLIENT,147954,,-1725658.0,TXN-0001324
2025-11-28,2025-11-29,PAYOUT TO CLIENT,141575,,-1867233.0,TXN-0001325
2025-11-26,2025-11-26,BROKERAGE / TRADE SETTLEMENT,111998,,-1979231.0,TXN-0001326
2025-11-28,2025-11-28,BROKERAGE / TRADE SETTLEMENT,106579,,-2085810.0,TXN-0001327
2025-11-23,2025-11-25,BANK / DP CHARGES,1026,,-2086836.0,TXN-0001328
2025-11-23,2025-11-23,MISC ADJUSTMENT,20774,,-2107610.0,TXN-0001329
2025-11-18,2025-11-19,CLIENT FUNDING - RTGS,,127975,-1979635.0,TXN-0001330
2025-11-26,2025-11-26,BANK / DP CHARGES,1316,,-1980951.0,TXN-0001331
2025-11-23,2025-11-24,PAYOUT TO CLIENT,68129,,-2049080.0,TXN-0001332
2025-11-24,2025-11-24,BROKERAGE / TRADE SETTLEMENT,104301,,-2153381.0,TXN-0001333
2025-11-24,2025-11-26,BANK / DP CHARGES,642,,-2154023.0,TXN-0001334
2025-11-29,2025-11-29,CLIENT FUNDING - RTGS,,147821,-2006202.0,TXN-0001335
2025-11-26,2025-11-26,MISC ADJUSTMENT,17148,,-2023350.0,TXN-0001336
2025-11-15,2025-11-15,BANK / DP CHARGES,1823,,-2025173.0,TXN-0001337
2025-11-25,2025-11-27,PAYOUT TO CLIENT,106412,,-2131585.0,TXN-0001338
2025-11-15,2025-11-15,BROKERAGE / TRADE SETTLEMENT,147473,,-2279058.0,TXN-0001339
2025-11-18,2025-11-19,CLIENT FUNDING - RTGS,,185411,-2093647.0,TXN-0001340
2025-11-28,2025-11-29,PAYOUT TO CLIENT,37998,,-2131645.0,TXN-0001341
2025-11-22,2025-11-22,MISC ADJUSTMENT,,39880,-2091765.0,TXN-0001342
2025-11-15,2025-11-16,PAYOUT TO CLIENT,36941,,-2128706.0,TXN-0001343
2025-11-21,2025-11-21,MISC ADJUSTMENT,48858,,-2177564.0,TXN-0001344
2025-11-22,2025-11-24,CLIENT FUNDING - RTGS,,104789,-2072775.0,TXN-0001345
2025-11-17,2025-11-19,PAYOUT TO CLIENT,150659,,-2223434.0,TXN-0001346
2025-11-22,2025-11-23,MISC ADJUSTMENT,40268,,-2263702.0,TXN-0001347
2025-11-16,2025-11-16,PAYOUT TO CLIENT,121462,,-2385164.0,TXN-0001348
2025-11-16,2025-11-16,CLIENT FUNDING - RTGS,,244940,-2140224.0,TXN-0001349
